Europe%Finland%Sampo; Global Rank 370,28996
North America%US%Corning; Global Rank 371,28957
South America%Brazil%Banco Brasil; Global Rank 372,28953
Europe%France%Safran; Global Rank 373,28905
Asia%Japan%Bridgestone; Global Rank 374,28897
Europe%UK%Shire; Global Rank 375,28867
Asia%South Korea%Hyundai Mobis; Global Rank 376,28807
North America%US%Exelon; Global Rank 377,28775
Europe%France%Renault; Global Rank 378,28750
North America%US%Aflac; Global Rank 379,28670
North America%US%Reynolds American; Global Rank 380,28659
North America%US%BB&T; Global Rank 381,28570
North America%US%Archer Daniels Midland; Global Rank 382,28454
North America%US%Baker Hughes; Global Rank 383,28360
Europe%Norway%DNB; Global Rank 384,28321
North America%US%Valero Energy; Global Rank 385,28287
Europe%Spain%Gas Natural; Global Rank 386,28149
North America%US%Wellpoint; Global Rank 387,28119
Europe%Denmark%Danske Bank; Global Rank 388,28115
Europe%France%Carrefour; Global Rank 389,28034
Asia%Japan%Yahoo Japan; Global Rank 390,27981
Asia%Japan%Panasonic; Global Rank 391,27940
North America%Canada%Thomson Reuters; Global Rank 392,27930
Europe%Finland%Nokia; Global Rank 393,27820
Europe%UK%Centrica; Global Rank 394,27810
North America%US%Williams Cos.; Global Rank 395,27774
Europe%Italy%Luxottica; Global Rank 396,27637
North America%Canada%Great West Lifeco; Global Rank 397,27583
Europe%UK%WPP; Global Rank 398,27541
Europe%Sweden%Investor; Global Rank 399,27486
North America%US%Twitter; Global Rank 400,27460
North America%US%Cummins; Global Rank 401,27396
Asia%Singapore%United Overseas Bank; Global Rank 402,27382
North America%US%Discover Financial Services; Global Rank 403,27324
North America%US%Devon Energy; Global Rank 404,27267
North America%US%V F; Global Rank 405,27250
Europe%UK%Compass Group; Global Rank 406,27225
North America%US%Aetna; Global Rank 407,27192
Asia%Japan%Astellas Pharma; Global Rank 408,27156
Europe%Switzerland%Holcim; Global Rank 409,27105
North America%US%Marsh & Mclennan; Global Rank 410,27084
Asia%Japan%Mitsui Fudosan; Global Rank 411,26952
Europe%Netherlands%ArcelorMittal; Global Rank 412,26844
North America%US%PPG Industries; Global Rank 413,26828
North America%US%Pioneer Natural Resources; Global Rank 414,26745
North America%US%Northrop Grumman; Global Rank 415,26741
North America%US%T-Mobile US; Global Rank 416,26505
Europe%Russia%Norilsk Nickel; Global Rank 417,26413
North America%Canada%Canadian Pacific Railway; Global Rank 418,26366
Asia%Thailand%PTT; Global Rank 419,26327
Asia%Malaysia%Malayan Banking; Global Rank 420,26287
Asia%Indonesia%Astra International; Global Rank 421,26282
North America%US%Hess; Global Rank 422,26116
Europe%Italy%Tenaris; Global Rank 423,26049
Asia%Singapore%Oversea-Chinese Banking; Global Rank 424,26024
Asia%Japan%Nippon Steel & Sumitomo Metal; Global Rank 425,26022
Asia%Japan%Mitsui; Global Rank 426,25914
Asia%China%China Pacific Insurance; Global Rank 427,25885
Asia%UAE%Emirates Telecommunications; Global Rank 428,25830
Asia%China%Kweichow Moutai; Global Rank 429,25829
Europe%France%Kering; Global Rank 430,25756
Europe%Belgium%KBC Group; Global Rank 431,25684
North America%US%Tesla Motors; Global Rank 432,25679
North America%US%Noble Energy; Global Rank 433,25621
North America%Canada%Brookfield Asset Management; Global Rank 434,25536
North America%US%Marathon Petroleum; Global Rank 435,25490
North America%US%Aon; Global Rank 436,25377
North America%US%Allstate; Global Rank 437,25297
Europe%France%Unibail-Rodamco; Global Rank 438,25275
North America%US%Air Products & Chemicals; Global Rank 439,25198
South America%Brazil%Cielo; Global Rank 440,25191
Asia%Japan%Keyence; Global Rank 441,25133
North America%US%Micron Technology; Global Rank 442,25100
North America%US%Forest Laboratories; Global Rank 443,25002
North America%US%CME Group; Global Rank 444,24848
North America%US%Spectra Energy; Global Rank 445,24756
Asia%Japan%Shin-Etsu Chemical; Global Rank 446,24747
North America%US%Applied Materials; Global Rank 447,24724
North America%US%TE Connectivity; Global Rank 448,24719
North America%US%American Electric Power; Global Rank 449,24713
North America%US%Crown Castle International; Global Rank 450,24647
Europe%Germany%Beiersdorf; Global Rank 451,24645
South America%Mexico%Grupo Mexico; Global Rank 452,24598
North America%US%Marathon Oil; Global Rank 453,24573
Asia%Japan%Nomura; Global Rank 454,24572
Europe%Germany%RWE; Global Rank 455,24559
Asia%China%Saic Motor; Global Rank 456,24558
Europe%Spain%Bankia; Global Rank 457,24318
North America%US%Southern Copper; Global Rank 458,24265
Asia%South Korea%Posco; Global Rank 459,24245
Asia%Taiwan%Formosa Petrochemical; Global Rank 460,24243
Asia%Japan%Mitsubishi Electric; Global Rank 461,24227
Asia%Japan%Central Japan Railway; Global Rank 462,24123
Asia%India%ICICI Bank; Global Rank 463,24078
Asia%South Korea%SK Hynix; Global Rank 464,24019
North America%US%Cardinal Health; Global Rank 465,23995
Asia%India%State Bank of India; Global Rank 466,23973
Asia%South Korea%Naver; Global Rank 467,23968
Europe%UK%British Sky Broadcasting; Global Rank 468,23954
North America%US%Paccar; Global Rank 469,23917
Europe%UK%Scottish & Southern Energy; Global Rank 470,23876
Asia%Taiwan%Chunghwa Telecom; Global Rank 471,23869
North America%US%Sempra Energy; Global Rank 472,23721
South America%Brazil%Itausa; Global Rank 473,23481
Europe%Sweden%Scania; Global Rank 474,23481
Europe%UK%ARM Holdings; Global Rank 475,23442
Europe%UK%Aviva; Global Rank 476,23435
North America%US%HCA Holdings; Global Rank 477,23297
Europe%France%Michelin; Global Rank 478,23245
Asia%Taiwan%Mediatek; Global Rank 479,23187
Asia%Japan%Tokio Marine; Global Rank 480,23149
Asia%India%Housing Development Finance; Global Rank 481,23096
North America%US%Continental Resources; Global Rank 482,23067
South America%Brazil%Telef Brasil; Global Rank 483,22855
Europe%France%Natixis; Global Rank 484,22779
Asia%Indonesia%Bank Central Asia; Global Rank 485,22775
North America%US%Intercontinental Exchange; Global Rank 486,22769
North America%US%Cigna; Global Rank 487,22727
Europe%Germany%Adidas; Global Rank 488,22709
Europe%Germany%Fresenius; Global Rank 489,22676
North America%US%Becton Dickinson; Global Rank 490,22599
Asia%South Korea%Kia Motors; Global Rank 491,22583
North America%US%Kellogg; Global Rank 492,22525
North America%US%Wynn Resorts; Global Rank 493,22494
Europe%France%Lafarge; Global Rank 494,22456
North America%Canada%Telus; Global Rank 495,22344
Asia%India%Wipro; Global Rank 496,22296
South America%Brazil%Banco do Brasil Seguridade; Global Rank 497,22256
North America%US%Kroger; Global Rank 498,22174
North America%Canada%Power Financial; Global Rank 499,22055
North America%US%Intuit; Global Rank 500,22022
