Mobile telecommunications%Norway%Telenor,33615.26,309
Mobile telecommunications%Singapore%Singapore Telecom,46276.04,214
Mobile telecommunications%South Africa%MTN Group,38368.38,267
Mobile telecommunications%Sweden%TeliaSonera,32591.4,326
Mobile telecommunications%UAE%Emirates Telecommunications,25829.97,428
Mobile telecommunications%UK%Vodafone Group,97106.77,72
Mobile telecommunications%US%Sprint,36170.71,283
Mobile telecommunications%US%T-Mobile US,26505.07,416
Nonlife insurance%Brazil%Banco do Brasil Seguridade,22255.82,497
Nonlife insurance%Finland%Sampo,28996.37,370
Nonlife insurance%France%Axa,62904.85,140
Nonlife insurance%Germany%Allianz,77544.32,106
Nonlife insurance%Germany%Munich Re,39340.66,255
Nonlife insurance%Italy%Generali,34717.94,296
Nonlife insurance%Japan%Tokio Marine,23148.85,480
Nonlife insurance%Switzerland%Swiss RE,34391.78,297
Nonlife insurance%Switzerland%Zurich Financial Services,45745.61,218
Nonlife insurance%US%Ace,33349.27,317
Nonlife insurance%US%Allstate,25296.88,437
Nonlife insurance%US%American International Group,72466.63,114
Nonlife insurance%US%Aon,25376.73,436
Nonlife insurance%US%Berkshire Hathaway,308090.6,5
Nonlife insurance%US%Marsh & Mclennan,27084.04,410
Nonlife insurance%US%Travelers Cos.,29983.02,357
Oil & gas producers%Australia%Woodside Petroleum,29796.89,359
Oil & gas producers%Brazil%Petrobras,88517.83,90
Oil & gas producers%Canada%Canadian Natural Resources,41868.84,237
Oil & gas producers%Canada%Husky Energy,29547.31,361
Oil & gas producers%Canada%Imperial Oil,39533.19,253
Oil & gas producers%Canada%Suncor Energy,51462.19,188
Oil & gas producers%China%PetroChina,220893.72,16
Oil & gas producers%China%Sinopec,96667.84,74
Oil & gas producers%France%Total,155984.82,34
Oil & gas producers%Hong Kong%CNOOC,67111.78,129
Oil & gas producers%India%Oil & Natural Gas,45655.03,219
Oil & gas producers%India%Reliance Industries,50367.78,194
Oil & gas producers%Italy%Eni,91209.19,84
Oil & gas producers%Norway%Statoil,90007.87,86
Oil & gas producers%Russia%Gazprom,91289.36,83
Oil & gas producers%Russia%Lukoil,47443.92,206
Oil & gas producers%Russia%Novatek,30329.88,350
Oil & gas producers%Russia%Rosneft,70737.14,122
Oil & gas producers%Russia%Surgutneftegas,31864.72,332
Oil & gas producers%South Africa%Sasol,36433.68,281
Oil & gas producers%Spain%Repsol,33817.23,305
Oil & gas producers%Taiwan%Formosa Petrochemical,24243.03,460
Oil & gas producers%Thailand%PTT,26326.52,419
Oil & gas producers%UK%BG Group,63518.63,136
Oil & gas producers%UK%BP,147771.13,36
Oil & gas producers%UK%Royal Dutch Shell,238993.52,12
