Asia%Japan%Softbank,30853.8,224,19618.5,486,26680.3,286,32937.7,244,90937.02,85
Asia%Japan%Softbank,0,0,0,0,26680.3,286,32937.7,244,90937.02,85
Europe%Norway%Statoil,63056.9,93,0,0,73918.9,74,86423.1,65,90007.87,86
Europe%Norway%Statoil,0,0,0,0,73918.9,74,86423.1,65,90007.87,86
North America%US%3M,57145.1,111,56011.5,130,59495.5,96,61977.5,104,89238.19,87
North America%US%CVS Caremark,0,0,0,0,50761.8,132,58534.8,114,88972.44,88
Europe%UK%Lloyds Banking Group,0,0,0,0,63713.8,90,37279.2,207,88822.71,89
South America%Brazil%Petrobras,91217.2,48,208390.7,12,186239.5,13,170836.2,22,88517.83,90
North America%Canada%Toronto-Dominion Bank,0,0,0,0,64406.1,89,76723.4,77,86508.95,91
North America%US%ConocoPhillips,87624.6,53,119002.3,45,76081.5,69,96769.4,55,86358.25,92
North America%US%Bristol Myers Squibb,0,0,0,0,45868.4,151,56953.8,122,86079.69,93
North America%US%Union Pacific,24732.1,288,32686.7,270,37037.5,195,51455.7,133,85396.06,94
North America%US%MasterCard,0,0,19440.3,494,28052.1,270,51026.5,136,85253.94,95
Australia%Australia%ANZ Banking,34562.1,193,39549.6,214,58966.8,100,64566.2,96,84083.08,96
North America%US%Abbvie,0,0,0,0,0,0,0,0,82036.94,97
Europe%UK%AstraZeneca,79407.8,62,54557.2,136,64625.9,88,56544.9,124,81492.58,98
Europe%Germany%BMW,36896.6,180,35741.5,239,29697.6,252,57218.8,119,81192.22,99
Europe%Germany%BMW,0,0,0,0,29697.6,252,57218.8,119,81192.22,99
North America%US%UnitedHealth Group,75762.4,68,42997.5,189,37816.6,188,61590.2,106,81103.75,100
Europe%UK%SABMiller,29508.1,230,33039.4,266,46380.8,148,63841.2,98,80215.53,101
Europe%Switzerland%UBS,119219.7,31,60503.6,113,57939.3,105,53632.2,128,79420.57,102
North America%US%US Bancorp,0,0,0,0,49563.6,137,60399,108,78007.5,103
